,Tweet,Score,Magnitude
0,Since President Buhari came to power in May 2015 Nigeria s stock market has fallen more than any other in the world dropping 50 in dollar terms That may hurt him in this weekend s elections though many are wary of his main opponent Atiku,-0.30000001192092896,0.30000001192092896
1,Lagos now awaits Atiku PDP rally today at Tafawa Balewa Square,0.0,0.0
2,Immediate past deputy governor of Ekiti State Kolapo Olusola implores people to vote for Atiku Abubakar and all PDP National Assembly candidates says APC has nothing to offer Atiku KolapoOlusola TGNElectionWatch NigeriaDecides2019 Nigeria,-0.10000000149011612,0.10000000149011612
3,RT It s fresh in my mind how PDP planned to suck the breasts of MotherNigeria dry but God intervened after many churche,0.20000000298023224,0.20000000298023224
4,RT Tinubu with Atiku supporters The last days before elections is very important A lot of people will switch loyalty whe,0.0,0.0
5,RT Can t believe a Big Celestial church around my house is telling all youth not to go out to vote on the 16th They claim its a,-0.10000000149011612,0.10000000149011612
6,RT The recent rally in Nigeria s stocks may pick up steam if there a change in government after this weekend presiden,0.0,0.0
7,RT We are on ground for Atiku nWelcome our incoming president H E AtikuinRivers AtikuInPortHarcourt AtikuInPH http,0.0,0.0
8,It s fresh in my mind how PDP planned to suck the breasts of MotherNigeria dry but God intervened after many churches prayers Even their selfish senior chief priest OlusegunObasanjo AKA OBJ wanted to make himself a life president Atiku may try the same thing IRememberPDP,-0.10000000149011612,0.10000000149011612
9,RT ayomide And some fools will be shouting BuhariMustGo and Atiku of must be voted back to power to get what worki,-0.5,0.5
10,Happening now President Buhari and Atikuat the International Conference Centre in Abuja for the second signing of the National Peace Accord NigeriaDecides TGNElectionWatch Nigeria Buhari Atiku,0.30000001192092896,0.30000001192092896
11,Clay Richie Five Preemptive Takeaways About Saturday Electio News Nigeria Africa NigeriaDecides NigeriaDecides2019 APC PDP Election2019 PMB Atiku Atikulated INEC Police,0.0,0.0
12,RR FT Nigeria Politics NigeriaDecides Atiku Buhari APC PDP n n I think on the health issue it is likely a matter of who is less unhealthy They are both old men,-0.20000000298023224,0.20000000298023224
13,RT time to drag u on this mad street U said under as a VP ASUU was on strike for 2 years and during that pe,-0.30000001192092896,0.30000001192092896
14,why you go about welcoming Buhari and Atiku in various states heres a chart from bbc that will get you thinking how unemployed and how many deaths there have been in states accross Nigeria n PMBInKwara,-0.30000001192092896,0.30000001192092896
15,RT Not even god can help Nigeria if by mistake Atiku wins the 2019 election We can only imagine the destruction Atiku w,-0.6000000238418579,0.6000000238418579
16,RT As we promised we painted Kano red today stew everywhere n n is phenomena n n You can t love Kano a,-0.10000000149011612,0.10000000149011612
17,RT Nigeria BREAKING 2019 Remi Tinubu Refuses To Campaign For Silently Endorses s,-0.8999999761581421,0.8999999761581421
18,time to drag u on this mad street U said under as a VP ASUU was on strike for 2 years and during that period Atiku built a University amp employed foreigners to run it Let s break this down cos ASUU strikes can be verified n,-0.20000000298023224,0.20000000298023224
19,BREAKING 2019 Remi Tinubu Refuses To Campaign For Silently Endorses s postnigerianews Buhari Atiku NigeriaDecides 2019Elections,-0.8999999761581421,0.8999999761581421
20,New post Why we dumped Buhari and chose Atiku Northern Stakeholders Forum NEWSTAGE 2019Election MuhammaduBuhari NigeriaNews,-0.6000000238418579,0.6000000238418579
21,Atiku is becoming a done deal Lagos and Kano goes,0.0,0.0
22,RT Happy new week n nYou know we ve the solution to your Phone Laptop problem n nVisit us and let s help you do more n nCall us,0.699999988079071,0.699999988079071
23,Real estate is an imperishable asset ever increasing in value It is the most solid security that human ingenuity has devised It is the basis of all security and about the only indestructible security RUSSELL SAGE n MondayMotivation GrammyAwards Atiku NigeriaDecides,0.699999988079071,0.699999988079071
24,Don t worry about mukhtar let him be his so called BUHARIST 16th feb it will be for Atiku,0.20000000298023224,0.20000000298023224
25,RT Hoodlums attack Abia pastor kill two daughters Police Atiku Buhari APC PDP PeterObi Ye,0.10000000149011612,0.10000000149011612
26,Nigeria news politics Those attacking Ohanaeze over endorsement of Atiku are blackmailers PDP senatorial candidate Utazi,0.0,0.0
27,Hoodlums attack Abia pastor kill two daughters Police Atiku Buhari APC PDP PeterObi YemiOsinbajo SouthAfrica MondayMotivation Cardi Nicki kaceymusgraves ChildishGambino mondaythoughts Drake Grammy InvasionOfPrivacy Travis Drake,0.0,0.0
28,Guys let s vibe Do u c d peaceAccord btw buhari Atiku holding any water N if a seyilaw joke of Sunday ws pulled on u ds hw will u react,-0.4000000059604645,0.4000000059604645
29,Not even god can help Nigeria if by mistake Atiku wins the 2019 election We can only imagine the destruction Atiku will bring to our beautiful and resourceful nation AtikuNeverAgain AtikuE AtikufailedNigeria,-0.30000001192092896,0.30000001192092896
30,NEWSPAPERREVIEW with u and on DayBreakNigeria n n ATIKU KANO RALLY THROWS OPEN BUHARI NORTHERN STRONGHOLDS,-0.20000000298023224,0.20000000298023224
31,2019 Major shakeup hits Nigerian Army navy police Atiku Buhari APC PDP PeterObi YemiOsinbajo Africa SouthAfrica MondayMotivation Cardi Nicki kaceymusgraves ChildishGambino mondaythoughts Drake Grammy InvasionOfPrivacy Travis,0.0,0.0
32,RT 2019 Why we dumped Buhari for Atiku Northern stakeholders Buhari APC PDP PeterObi Yem,-0.4000000059604645,0.4000000059604645
33,2019 Why we dumped Buhari for Atiku Northern stakeholders Buhari APC PDP PeterObi YemiOsinbajo Africa SouthAfrica MondayMotivation Cardi Nicki kaceymusgraves ChildishGambino mondaythoughts Drake Grammy InvasionOfPrivacy,-0.30000001192092896,0.30000001192092896
34,undercover99 That s why they left him stranded in the pdp primaries in porthacourt They will collect the atiku dollar and vote integrity come febuhari 16th nYou can t stop the ne level train,-0.4000000059604645,0.4000000059604645
35,RT Article Oct 18 issue assessed the impact politics was having on the economy amp governance n n RR Nigeria,-0.30000001192092896,0.30000001192092896
36,Article Oct 18 issue assessed the impact politics was having on the economy amp governance n n RR Nigeria Politics NigeriaDecides NewAfrican Markets Investment FPI FDI Atiku Buhari APC PDP,-0.20000000298023224,0.20000000298023224
37,2019 Why we dumped Buhari for Atiku Northern stakeholders Buhari APC PDP PeterObi YemiOsinbajo Africa SouthAfrica westafrica MondayMotivation Cardi Nicki kaceymusgraves ChildishGambino mondaythoughts DuaLipa Alicia,-0.30000001192092896,0.30000001192092896
38,RT Article Oct 18 issue assessed the incumbent s chances n n RR Nigeria Politics NigeriaDecides NewAfrican,-0.4000000059604645,0.4000000059604645
39,Article Oct 18 issue assessed the incumbent s chances n n RR Nigeria Politics NigeriaDecides NewAfrican Markets Investment FPI FDI Atiku Buhari APC PDP Economy,-0.30000001192092896,0.30000001192092896
40,RT The PDP crowd in kano is not for atiku the people with red caps are Kwankwasiyya so stop deceiving urselfs,-0.699999988079071,0.699999988079071
41,RT Article Jan 19 issue assessed the 2 leading candidates policy documents n n RR Nigeria Politics Nigeria,-0.4000000059604645,0.4000000059604645
42,Article Jan 19 issue assessed the 2 leading candidates policy documents n n RR Nigeria Politics NigeriaDecides NewAfrican Markets Investment FPI FDI Atiku Buhari APC PDP,-0.30000001192092896,0.30000001192092896
43,I had a dream at the early hours of this morning that Won the elections thank God for saving Nigeria Congratulations my incoming president NigeriaDecides2019 PDPKanoRally PDPRiversRally atiku,0.800000011920929,0.800000011920929
